Size (bytes),Marshal Time (ms),Data Type,Timestamp
1048576,87.838758ms,message_1024KB,2025-02-07T18:54:41Z
10240,1.5598ms,message_10KB,2025-02-07T16:19:03Z
102400,9.713256ms,message_100KB,2025-02-08T12:55:02+05:30
10240,1.913541ms,message_10KB,2025-02-07T18:54:40Z
1024,2.1292ms,message_1KB,2025-02-07T17:14:12Z
1048576,113.892009ms,message_1024KB,2025-02-07T17:08:46Z
10240,1.6617ms,message_10KB,2025-02-07T17:14:12Z
102400,10.776101ms,message_100KB,2025-02-07T16:19:03Z
10240,3.7185ms,message_10KB,2025-02-07T17:08:45Z
1024,1.872893ms,message_1KB,2025-02-08T12:55:01+05:30
1024,1.3454ms,message_1KB,2025-02-07T17:08:45Z
1048576,105.74571ms,message_1024KB,2025-02-07T17:14:13Z
102400,10.688501ms,message_100KB,2025-02-07T17:14:12Z
1048576,67.639801ms,message_1024KB,2025-02-07T16:19:04Z
10240,1.890303ms,message_10KB,2025-02-08T12:55:02+05:30
102400,12.145501ms,message_100KB,2025-02-07T17:08:46Z
1024,1.2072ms,message_1KB,2025-02-07T16:19:02Z
1048576,70.145505ms,message_1024KB,2025-02-08T12:55:03+05:30
1024,1.632033ms,message_1KB,2025-02-07T18:54:40Z
102400,9.096725ms,message_100KB,2025-02-07T18:54:40Z
